Date,Product,Category,Quantity,Unit_Price,Total_Sales,Region
2023-01-01,Widget A,Electronics,50,29.99,1499.50,East
2023-01-01,Gadget B,Electronics,30,49.99,1499.70,West
2023-01-02,Tool C,Hardware,75,15.99,1199.25,North
2023-01-02,Widget A,Electronics,45,29.99,1349.55,South
2023-01-03,Gadget B,Electronics,60,49.99,2999.40,East
2023-01-03,Tool C,Hardware,25,15.99,399.75,West
2023-01-04,Widget A,Electronics,80,29.99,2399.20,North
2023-01-04,Gadget B,Electronics,40,49.99,1999.60,South
2023-01-05,Tool C,Hardware,90,15.99,1439.10,East
2023-01-05,Widget A,Electronics,35,29.99,1049.65,West
2023-01-06,Gadget B,Electronics,55,49.99,2749.45,North
2023-01-06,Tool C,Hardware,70,15.99,1119.30,South
2023-01-07,Widget A,Electronics,65,29.99,1949.35,East
2023-01-07,Gadget B,Electronics,45,49.99,2249.55,West
2023-01-08,Tool C,Hardware,85,15.99,1359.15,North
2023-01-08,Widget A,Electronics,30,29.99,899.70,South
2023-01-09,Gadget B,Electronics,50,49.99,2499.50,East
2023-01-09,Tool C,Hardware,40,15.99,639.60,West
2023-01-10,Widget A,Electronics,70,29.99,2099.30,North
2023-01-10,Gadget B,Electronics,35,49.99,1749.65,South
